ID,Author,category,species,gene,method,trait,promoter,tissue,parameter,generation,age,treat_n,treat_mean,treat_sd,control_n,control_mean,control_sd
1,"Bee et al., 2007",pig,DeKalb,IGF-I,transgenesis,growth,?-actin,heart,mRNA,F1,0,3,3.748,1.249,3,0,0
2,"Bee et al., 2007",pig,DeKalb,IGF-I,transgenesis,growth,?-actin,muscle,mRNA,F1,0,3,2.498,1.143,3,0,0
3,"Bee et al., 2007",pig,DeKalb,IGF-I,transgenesis,growth,?-actin,muscle,mRNA,F1,0,3,1.94,1.249,3,0,0
4,"Bee et al., 2007",pig,DeKalb,IGF-I,transgenesis,growth,?-actin,muscle,mRNA,F1,0,3,3.056,1.169,3,0,0
5,"Bee et al., 2007",pig,DeKalb,IGF-I,transgenesis,growth,?-actin,muscle,mRNA,F1,0,3,1.196,1.249,3,0,0
6,"Bee et al., 2007",pig,DeKalb,IGF-I,transgenesis,growth,?-actin,muscle,mRNA,F1,0,3,1.807,1.169,3,0,0
7,"Bee et al., 2007",pig,DeKalb,IGF-I,transgenesis,growth,?-actin,heart,mRNA,F1,0,3,3.482,1.116,3,0,0
8,"Bee et al., 2007",pig,DeKalb,IGF-I,transgenesis,growth,?-actin,muscle,mRNA,F1,0,3,3.561,1.223,3,0,0
9,"Bee et al., 2007",pig,DeKalb,IGF-I,transgenesis,growth,?-actin,muscle,mRNA,F1,0,3,2.95,1.196,3,0,0
10,"Bee et al., 2007",pig,DeKalb,IGF-I,transgenesis,growth,?-actin,muscle,mRNA,F1,0,3,6.591,1.223,3,0,0
11,"Bee et al., 2007",pig,DeKalb,IGF-I,transgenesis,growth,?-actin,muscle,mRNA,F1,0,3,1.382,1.196,3,0,0
12,"Bee et al., 2007",pig,DeKalb,IGF-I,transgenesis,growth,?-actin,muscle,mRNA,F1,0,3,1.542,1.143,3,0,0
45,"Buwono et al., 2023",fish,mutiara catfish,cgGH,transgenesis,growth,CMV,fin,mRNA,F1,45,3,2.944,0.472,3,0,0
46,"Buwono et al., 2023",fish,mutiara catfish,cgGH,transgenesis,growth,CMV,fin,mRNA,F1,45,3,1.753,0.157,3,0,0
47,"Buwono et al., 2023",fish,mutiara catfish,cgGH,transgenesis,growth,CMV,fin,mRNA,F1,45,3,1.213,0.09,3,0,0
49,"Yan et al., 2014",pig,Tibetan miniature,mx1,transgenesis,disease resistance,CMV,ear,mRNA,P1,30,3,22.968,5.461,3,2.02,0.98
50,"Yan et al., 2014",pig,Tibetan miniature,mx1,transgenesis,disease resistance,CMV,ear,mRNA,P1,30,3,14.14,1.047,3,2.02,0.98
51,"Yan et al., 2014",pig,Tibetan miniature,mx1,transgenesis,disease resistance,CMV,ear,mRNA,P1,30,3,13.317,1.721,3,2.02,0.98
52,"Yan et al., 2014",pig,Tibetan miniature,mx1,transgenesis,disease resistance,CMV,ear,mRNA,P1,30,3,16.983,2.544,3,2.02,0.98
53,"Yan et al., 2014",pig,Tibetan miniature,mx1,transgenesis,disease resistance,CMV,ear,mRNA,P1,30,3,20.648,0.973,3,2.02,0.98
54,"Hu et al., 2015",pig,unknown,FMDV-shRNA,transgenesis,disease resistance,H1,in vitro,mRNA,P1,NA,3,4.86,0.27,3,0,0
55,"Hu et al., 2015",pig,unknown,FMDV-shRNA,transgenesis,disease resistance,H1,in vitro,mRNA,P1,NA,3,6.865,0.231,3,0,0
56,"Hu et al., 2015",pig,unknown,FMDV-shRNA,transgenesis,disease resistance,H1,in vitro,mRNA,P1,NA,3,2.931,0.501,3,0,0
57,"Hu et al., 2015",pig,unknown,FMDV-shRNA,transgenesis,disease resistance,H1,in vitro,mRNA,P1,NA,3,9.835,0.309,3,0,0
58,"Hu et al., 2015",pig,unknown,FMDV-shRNA,transgenesis,disease resistance,H1,in vitro,mRNA,P1,NA,3,9.873,0.463,3,0,0
59,"Hu et al., 2015",pig,unknown,FMDV-shRNA,transgenesis,disease resistance,H1,in vitro,mRNA,P1,NA,3,10.876,0.463,3,0,0
60,"Hu et al., 2015",pig,unknown,FMDV-shRNA,transgenesis,disease resistance,H1,in vitro,mRNA,P1,NA,3,5.978,0.424,3,0,0
61,"Hu et al., 2015",pig,unknown,FMDV-shRNA,transgenesis,disease resistance,H1,in vitro,mRNA,P1,NA,3,6.904,0.347,3,0,0
62,"Yang et al., 2015",pig,Large White,PBD-2,transgenesis,disease resistance,?-actin,heart,protein,P1,60,3,6374.502,239.044,3,4860.558,119.522
