ID,Author,category,species,gene,method,promoter,parameter,generation,age,treat_n,treat_mean,treat_sd,control_n,control_mean,control_sd
174,"Luo et al., 2014",cattle,yellow cattle,mstn,gene_editing,NA,myofiber_size,P1,30,3,346,12.9,3,234.8,9.7
176,"Qian et al., 2015",pig,Meishan,mstn,gene_editing,NA,myofiber_size,P1,240,3,1286.01,77.36,3,1975.51,111.2
177,"Qian et al., 2015",pig,Meishan,mstn,gene_editing,NA,myofiber_size,P1,240,3,2837.31,214.41,3,1975.51,111.2
178,"Qian et al., 2015",pig,Meishan,mstn,gene_editing,NA,myofiber_number,P1,240,3,475.25,18.13,3,396.35,10.51
179,"Qian et al., 2015",pig,Meishan,mstn,gene_editing,NA,myofiber_number,P1,240,3,348.88,15.57,3,396.35,10.51
180,"Qian et al., 2015",pig,Meishan,mstn,gene_editing,NA,myofiber_number,P1,240,3,1508,93.33,3,1954,34.99
181,"Qian et al., 2015",pig,Meishan,mstn,gene_editing,NA,myofiber_number,P1,240,3,514.8,39.47,3,412.9,4.36
182,"Qian et al., 2015",pig,Meishan,mstn,gene_editing,NA,myofiber_number,P1,240,3,15.7,2.2,3,7.79,0.76
183,"Qian et al., 2015",pig,Meishan,mstn,gene_editing,NA,myofiber_number,P1,240,3,8.54,0.35,3,7.79,0.76
184,"Wang et al., 2015",pig,Landrace,mstn,gene_editing,NA,myofiber_number,P1,0,5,208410.351,5083.179,5,161275.416,13401.109
185,"Wang et al., 2015",pig,Landrace,mstn,gene_editing,NA,myofiber_number,P1,0,5,207486.137,9242.144,5,150184.843,7855.823
192,"Lv et al., 2015",rabbit,New Zealand,mstn,gene_editing,NA,myofiber_size,F1,60,4,1539.2,132.52,4,1055.81,257.57
193,"Lv et al., 2015",rabbit,New Zealand,mstn,gene_editing,NA,myofiber_size,F1,60,4,2011.01,169.79,4,1318.51,261.48
194,"Lv et al., 2015",rabbit,New Zealand,mstn,gene_editing,NA,myofiber_number,F1,60,4,327.79,21.12,4,211.37,19.89
203,"Zhong et al., 2016",fish,Common carp,mstn,gene_editing,NA,myofiber_number,P1,150,24,438.073,29.817,24,367.546,16.055
206,"Bi et al., 2016",pig,Hubei white,mstn,gene_editing,NA,myofiber_size,P1,180,2,43.01,4.724,3,25.23,1.766
207,"Bi et al., 2016",pig,Hubei white,mstn,gene_editing,NA,myofiber_size,P1,180,2,43.77,4.562,3,25.23,1.766
214,"Rao et al., 2016",pig,Crossbred,mstn,gene_editing,NA,myofiber_number,P1,30,10,1435789,78200,30,681073,28994
224,"Yu et al., 2016",goat,Delta,mstn,gene_editing,NA,myofiber_size,P1,0,338,3475,124,374,3194,159
225,"Kang et al., 2017",pig,Uknown,mstn,gene_editing,NA,myofiber_size,P1,30,3,67.669,0,3,25.376,25.376
226,"Kang et al., 2017",pig,Uknown,mstn,gene_editing,NA,myofiber_size,P1,60,3,972.744,338.346,3,465.226,211.466
227,"Kang et al., 2017",pig,Uknown,mstn,gene_editing,NA,myofiber_size,P1,180,3,3442.669,778.195,3,2359.962,668.233
228,"Kang et al., 2017",pig,Uknown,mstn,gene_editing,NA,myofiber_size,P1,30,3,147.826,24.595,3,86.957,0
