ID,Study_ID,Author,Year,category,species,Species,gene,method,promoter,parameter,generation,age,treat_n,treat_mean,treat_sd,control_n,control_mean,control_sd
1,1,Vize et al.,1988,pig,Large white,Sus domesticus,pGH,transgenesis,HMT,weight_gain,P1,50,6,817,234,6,781,44
2,1,Vize et al.,1988,pig,Large white,Sus domesticus,pGH,transgenesis,HMT,plasma_GH,P1,0,6,7.07,10.38,6,6.4,5.2
3,1,Vize et al.,1988,pig,Large white,Sus domesticus,pGH,transgenesis,HMT,plasma_GH,P1,50,5,14.3,8.12,6,11.3,2.7
5,2,Zhang et al.,1990,fish,Common carp,Cyprinus carpio,rtGH,transgenesis,RSV,body_weight,P1,90,7,143.4,31,64,116.1,40
6,2,Zhang et al.,1990,fish,Common carp,Cyprinus carpio,rtGH,transgenesis,RSV,body_weight,F1,90,28,120.6,17.4,38,99.3,14.7
7,2,Zhang et al.,1990,fish,Common carp,Cyprinus carpio,rtGH,transgenesis,RSV,body_weight,F1,90,11,206,45.2,15,147,48
8,3,Du et al.,1992,fish,Atlantic salmon,Salmo salar,csGH,transgenesis,opAFP,plasma_GH,P1,720,5,39.9,14.8,5,20.5,7.97
9,3,Du et al.,1992,fish,Atlantic salmon,Salmo salar,csGH,transgenesis,opAFP,body_weight,P1,330,6,20.9,5.13,43,7.4,0.26
10,3,Du et al.,1992,fish,Atlantic salmon,Salmo salar,csGH,transgenesis,opAFP,body_weight,P1,720,6,47.3,9.5,43,9.48,0.6
11,3,Du et al.,1992,fish,Atlantic salmon,Salmo salar,csGH,transgenesis,opAFP,SGR,P1,720,6,0.836,0.186,43,0.213,0.023
12,3,Du et al.,1992,fish,Atlantic salmon,Salmo salar,csGH,transgenesis,opAFP,condition_factor,P1,330,6,8.99,0.27,43,10,0.01
13,3,Du et al.,1992,fish,Atlantic salmon,Salmo salar,csGH,transgenesis,opAFP,condition_factor,P1,720,6,9.07,0.48,43,10.5,0.1
14,4,Gross et al.,1992,fish,Northern pike,Esox lucius,csGH,transgenesis,RSV,body_weight,P1,180,9,63.897,0,34,65.515,3.235
15,4,Gross et al.,1992,fish,Northern pike,Esox lucius,csGH,transgenesis,RSV,body_weight,P1,180,9,77.647,4.044,34,69.559,3.235
16,4,Gross et al.,1992,fish,Northern pike,Esox lucius,csGH,transgenesis,RSV,body_weight,P1,260,9,99.485,2.426,34,102.721,4.853
17,4,Gross et al.,1992,fish,Northern pike,Esox lucius,csGH,transgenesis,RSV,body_weight,P1,260,9,130.221,11.324,34,108.382,6.471
18,4,Gross et al.,1992,fish,Northern pike,Esox lucius,csGH,transgenesis,RSV,body_weight,P1,400,9,186.838,10.515,34,189.265,11.324
19,4,Gross et al.,1992,fish,Northern pike,Esox lucius,csGH,transgenesis,RSV,body_weight,P1,400,9,186.838,5.662,34,161.765,9.706
20,5,Devlin et al.,1995,fish,Coho salmon,Oncorhynchus kisutch,csGH,transgenesis,opAFP,body_weight,P1,150,6,14,1.1,25,3.9,0.4
21,5,Devlin et al.,1995,fish,Coho salmon,Oncorhynchus kisutch,csGH,transgenesis,opAFP,body_weight,P1,450,15,278.2,61.3,370,26.1,1.7
22,5,Devlin et al.,1995,fish,Coho salmon,Oncorhynchus kisutch,csGH,transgenesis,opAFP,SGR,P1,150,6,3.79,0.37,25,1.03,0.26
23,5,Devlin et al.,1995,fish,Coho salmon,Oncorhynchus kisutch,csGH,transgenesis,opAFP,SGR,P1,450,15,2.14,0.24,370,1.82,0.03
25,5,Devlin et al.,1995,fish,Coho salmon,Oncorhynchus kisutch,csGH,transgenesis,opAFP,condition_factor,P1,450,15,8,0.2,370,9,0.3
26,5,Devlin et al.,1995,fish,Rainbow trout,Oncorhynchus mykiss,csGH,transgenesis,opAFP,body_weight,P1,300,18,119.5,12.4,29,37.9,9.4
27,5,Devlin et al.,1995,fish,Rainbow trout,Oncorhynchus mykiss,csGH,transgenesis,opAFP,SGR,P1,300,18,1.64,0.16,29,1.44,0.11
28,5,Devlin et al.,1995,fish,Rainbow trout,Oncorhynchus mykiss,csGH,transgenesis,opAFP,condition_factor,P1,300,18,7.8,0.2,29,7.7,0.3
29,6,Martínez et al.,1996,fish,Hybrid tilapia,Oreochromis niloticus,tiGH,transgenesis,CMV,body_weight,F1,270,18,399.1,94.1,20,219.5,49.1
30,6,Martínez et al.,1996,fish,Hybrid tilapia,Oreochromis niloticus,tiGH,transgenesis,CMV,plasma_GH,F1,240,13,25.7,14.6,90,26.1,20.6
31,7,Rahman et al.,1998,fish,Nile tilapia,Oreochromis niloticus,csGH,transgenesis,opAFP,plasma_GH,P1,150,6,1.02,0.14,6,0,0
34,7,Rahman et al.,1998,fish,Nile tilapia,Oreochromis niloticus,csGH,transgenesis,opAFP,condition_factor,F1,150,18,17.46,0.32,32,17.58,0.31
35,7,Rahman et al.,1998,fish,Nile tilapia,Oreochromis niloticus,csGH,transgenesis,opAFP,condition_factor,F1,150,110,15.33,102,446,18.06,0.3
36,7,Rahman et al.,1998,fish,Nile tilapia,Oreochromis niloticus,csGH,transgenesis,opAFP,SGR,F1,180,12,2.73,0.34,13,2.2,0.67
37,7,Rahman et al.,1998,fish,Nile tilapia,Oreochromis niloticus,csGH,transgenesis,opAFP,weight_gain,F1,180,12,97.87,11.67,13,22.67,3.71
38,7,Rahman et al.,1998,fish,Nile tilapia,Oreochromis niloticus,csGH,transgenesis,opAFP,FCE,F1,180,12,131.34,6.92,13,98.61,3.65
39,8,Hinits and Moav,1999,fish,Common carp,Cyprinus carpio,csGH,transgenesis,?-actin,weight_gain,F1,180,80,454.6,41.2,80,378.2,18.3
40,8,Hinits and Moav,1999,fish,Common carp,Cyprinus carpio,csGH,transgenesis,?-actin,weight_gain,F1,180,80,416.6,33,80,378.2,18.3
41,8,Hinits and Moav,1999,fish,Common carp,Cyprinus carpio,csGH,transgenesis,?-actin,weight_gain,F1,180,80,410.5,25.5,80,378.2,18.3
