ID,Author,category,species,gene,method,promoter,pathogen,generation,parameter,treat_n,treat_mean,treat_sd,control_n,control_mean,control_sd
1,"Dunham et al., 2002",fish,channel catfish,cec,transgenesis,CMV,Flavobacterium,F1,CSR,77,95.78,4.17,17,27.3,3.51
2,"Dunham et al., 2002",fish,channel catfish,cec,transgenesis,CMV,Edwardsiella,F1,CSR,61,40.7,6.61,27,14.8,1.08
3,Zhong et al. 2002,fish,grass carp,hLF,transgenesis,?-actin,GCRV,P1,CSR,19,74.075,3.512,29,33.335,6.251
4,Mao et al. 2004,fish,grass carp,hLF,transgenesis,?-actin,Aeromonas,P1,CSR,20,80,2.198,20,50,2.156
5,Mao et al. 2004,fish,grass carp,hLF,transgenesis,?-actin,Aeromonas,P1,Phagocytic activity,5,245,183.9836949,7,214.2857143,139.0871601
6,Mao et al. 2004,fish,grass carp,hLF,transgenesis,?-actin,Aeromonas,P1,Phagocytic activity,8,48.575,9.09,8,41.1,1.09
7,Mao et al. 2004,fish,grass carp,hLF,transgenesis,?-actin,Aeromonas,P1,lysozyme activity,5,245,205.7000243,7,214.2857143,139.0871601
8,"Lu and Sun, 2005",shrimp,Litopenaeus vannamei,TSV-CP,transgenesis,?-actin,TSV,P1,CSR,9,83.3,2.54,10,44.4,3.08
9,"Lu and Sun, 2005",shrimp,Litopenaeus vannamei,TSV-CP,transgenesis,?-actin,TSV,P1,CSR,9,85.7,5.11,10,50,2
10,"Dieckhoff et al., 2008",pig,German Landrace ,PERV-shRNA,transgenesis,H1,PERV,P1,virus RNA,15,20.424,11.2,15,100.471,11.859
11,"Dieckhoff et al., 2008",pig,German Landrace ,PERV-shRNA,transgenesis,H1,PERV,P1,virus RNA,15,19.106,10.541,15,100.471,11.859
12,"Dieckhoff et al., 2008",pig,German Landrace ,PERV-shRNA,transgenesis,H1,PERV,P1,virus RNA,15,29.318,12.847,15,100.471,11.859
13,"Dieckhoff et al., 2008",pig,German Landrace ,PERV-shRNA,transgenesis,H1,PERV,P1,virus RNA,15,19.765,9.224,15,100.471,11.859
14,"Dieckhoff et al., 2008",pig,German Landrace ,PERV-shRNA,transgenesis,H1,PERV,P1,virus RNA,15,13.506,5.929,15,100.141,14.165
15,"Dieckhoff et al., 2008",pig,German Landrace ,PERV-shRNA,transgenesis,H1,PERV,P1,virus RNA,15,19.106,15.812,15,100.141,14.165
16,"Dieckhoff et al., 2008",pig,German Landrace ,PERV-shRNA,transgenesis,H1,PERV,P1,virus RNA,15,5.929,2.306,15,100.471,8.565
17,"Dieckhoff et al., 2008",pig,German Landrace ,PERV-shRNA,transgenesis,H1,PERV,P1,virus RNA,15,6.588,3.624,15,100.471,8.565
18,"Dieckhoff et al., 2008",pig,German Landrace ,PERV-shRNA,transgenesis,H1,PERV,P1,virus RNA,15,37.553,16.8,15,100.471,11.859
19,"Dieckhoff et al., 2008",pig,German Landrace ,PERV-shRNA,transgenesis,H1,PERV,P1,virus RNA,15,14.165,4.941,15,100.471,11.859
20,"Su et al., 2009",fish,rare minnow,mx,transgenesis,CMV,GCRV,P1,CSR,60,55.3,2.4,60,8.9,1.2
21,"Su et al., 2009",fish,rare minnow,mx,transgenesis,CMV,GCRV,F1,CSR,60,81.2,4.7,60,10.9,2.7
22,"Lyall et al., 2011",chicken,unknown,AIV-shRNA,transgenesis,U6,AIV,F1,pathogen load,8,29.016,15.337,2,100.725,18.653
23,"Lyall et al., 2011",chicken,unknown,AIV-shRNA,transgenesis,U6,AIV,F1,lysozyme activity,5,11.8,1,5,8.44,0.48
24,"Fletcher et al., 2011",fish,Atlantic salmon,Lys,transgenesis,opAFP,NA,F1,Phagocytic activity,5,11.8,2.236,5,8.44,1.118
