ID,Author,category,species,gene,method,promoter,pathogen,generation,parameter,treat_n,treat_mean,treat_sd,control_n,control_mean,control_sd
1,"Dunham et al., 2002",fish,channel catfish,cec,transgenesis,CMV,Flavobacterium,F1,CSR,77,95.78,4.17,17,27.3,3.51
2,"Dunham et al., 2002",fish,channel catfish,cec,transgenesis,CMV,Edwardsiella,F1,CSR,61,40.7,6.61,27,14.8,1.08
3,Zhong et al. 2002,fish,grass carp,hLF,transgenesis,?-actin,GCRV,P1,CSR,19,74.075,3.512,29,33.335,6.251
4,Mao et al. 2004,fish,grass carp,hLF,transgenesis,?-actin,Aeromonas,P1,CSR,20,80,2.198,20,50,2.156
8,"Lu and Sun, 2005",shrimp,Litopenaeus vannamei,TSV-CP,transgenesis,?-actin,TSV,P1,CSR,9,83.3,2.54,10,44.4,3.08
9,"Lu and Sun, 2005",shrimp,Litopenaeus vannamei,TSV-CP,transgenesis,?-actin,TSV,P1,CSR,9,85.7,5.11,10,50,2
20,"Su et al., 2009",fish,rare minnow,mx,transgenesis,CMV,GCRV,P1,CSR,60,55.3,2.4,60,8.9,1.2
21,"Su et al., 2009",fish,rare minnow,mx,transgenesis,CMV,GCRV,F1,CSR,60,81.2,4.7,60,10.9,2.7
25,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,Aeromonas,F1,CSR,30,88,3,30,20,6
26,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,Aeromonas,F1,CSR,30,86,5,30,20,6
27,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,Aeromonas,F1,CSR,30,80,6,30,20,6
28,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,Aeromonas,F1,CSR,30,70,3,30,20,6
29,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,Aeromonas,F1,CSR,30,80,4,30,20,6
30,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,Aeromonas,F1,CSR,30,90,2,30,20,6
31,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,Aeromonas,F1,CSR,30,75,6,30,20,6
32,"Chiou et al., 2014",fish,rainbow trout ,cec,transgenesis,CMV,Aeromonas,F1,CSR,30,20,3,30,20,6
33,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,Aeromonas,F1,CSR,30,85,4,30,15,4
34,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,Aeromonas,F1,CSR,30,60,6,30,15,4
35,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,Aeromonas,F1,CSR,30,70,6,30,15,4
36,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,Aeromonas,F1,CSR,30,60,4,30,15,4
37,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,Aeromonas,F1,CSR,30,45,7,30,15,4
38,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,Aeromonas,F1,CSR,30,80,2,30,15,4
39,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,Aeromonas,F1,CSR,30,80,3,30,15,4
40,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,IHNV,F1,CSR,30,80,1,30,18,2
41,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,IHNV,F1,CSR,30,75,2,30,18,2
42,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,IHNV,F1,CSR,30,85,2,30,18,2
43,"Chiou et al., 2014",fish,rainbow trout ,CF-17,transgenesis,CMV,IHNV,F1,CSR,30,80,4,30,18,2
