ID,Author,category,species,gene,method,promoter,pathogen,generation,parameter,treat_n,treat_mean,treat_sd,control_n,control_mean,control_sd
79,"Shanthalingam et al., 2016",cattle,unknown,CD18,gene editing,NA,Mannheimia,P1,pathogen load,3,4.831,3.221,3,76.938,2.147
80,"Shanthalingam et al., 2016",cattle,unknown,CD18,gene editing,NA,Mannheimia,P1,pathogen load,3,7.157,0,3,74.076,1.968
81,"Shanthalingam et al., 2016",cattle,unknown,CD18,gene editing,NA,Mannheimia,P1,pathogen load,3,6.62,3.042,3,71.571,0
82,"Shanthalingam et al., 2016",cattle,unknown,CD18,gene editing,NA,Mannheimia,P1,pathogen load,3,6.799,2.684,3,67.992,1.431
83,"Shanthalingam et al., 2016",cattle,unknown,CD18,gene editing,NA,Mannheimia,P1,pathogen load,3,4.652,0,3,33.459,4.652
84,"Shanthalingam et al., 2016",cattle,unknown,CD18,gene editing,NA,Mannheimia,P1,pathogen load,3,1.789,0,3,22.903,3.4
104,"Burkard et al., 2017",pig,Large White,CD163,gene editing,NA,PRRSV,P1,pathogen load,3,4.628,2.975,3,57.851,2.975
105,"Burkard et al., 2017",pig,Large White,CD163,gene editing,NA,PRRSV,P1,pathogen load,3,2.645,2.975,3,69.091,1.653
111,"Popescu et al., 2017",pig,Large White x Landrace,CD163,gene editing,NA,ASFV,P1,pathogen load,6,5.452,1.31,10,4.762,1.214
114,"Wells et al., 2017",pig,unknown,CD163,gene editing,NA,PRRSV,P1,pathogen load,3,8,8,3,59,15
115,"Wells et al., 2017",pig,unknown,CD163,gene editing,NA,PRRSV,P1,pathogen load,3,12,9,3,56,20
116,"Wells et al., 2017",pig,unknown,CD163,gene editing,NA,PRRSV,P1,pathogen load,3,8,6,3,64,11
117,"Wells et al., 2017",pig,unknown,CD163,gene editing,NA,PRRSV,P1,pathogen load,3,6,3,3,54,5
118,"Wells et al., 2017",pig,unknown,CD163,gene editing,NA,PRRSV,P1,pathogen load,3,8,8,3,43,18
119,"Wells et al., 2017",pig,unknown,CD163,gene editing,NA,PRRSV,P1,pathogen load,3,7,4,3,51,22
120,"Wells et al., 2017",pig,unknown,CD163,gene editing,NA,PRRSV,P1,pathogen load,3,3,1,3,55,12
121,"Wells et al., 2017",pig,unknown,CD163,gene editing,NA,PRRSV,P1,pathogen load,3,10,11,3,49,3
122,"Wells et al., 2017",pig,unknown,CD163,gene editing,NA,PRRSV,P1,pathogen load,3,6,3,3,55,23
170,"Hellmich et al., 2020",chicken,White Leghorn,W38,gene editing,NA,ALV,P1,pathogen load,9,5.512,2.48,9,0,0
171,"Hellmich et al., 2020",chicken,White Leghorn,W38,gene editing,NA,ALV,P1,pathogen load,9,8.031,2.756,9,0,0
234,"Qi et al., 2022",pig,unknown,PCBP1,gene editing,NA,CSFV,P1,pathogen load,3,4.975,0.314,3,5.737,0.112
235,"Qi et al., 2022",pig,unknown,PCBP1,gene editing,NA,CSFV,P1,pathogen load,3,3.672,0.06,3,4.418,0.104
236,"Qi et al., 2022",pig,unknown,PCBP1,gene editing,NA,CSFV,F1,pathogen load,3,4.908,0.269,3,5.737,0.112
237,"Qi et al., 2022",pig,unknown,PCBP1,gene editing,NA,CSFV,F1,pathogen load,3,3.731,0.076,3,4.418,0.104
