ID,Author,category,species,gene,method,promoter,generation,age,source,parameter,treat_n,treat_mean,treat_sd,control_n,control_mean,control_sd
12,"Saeki et al., 2004",pig,Duroc_Landrace ,fat2,transgenesis,aP2,P1,150,blood,EPA,2,0.2,0.1414,3,0.3,0.1
13,"Saeki et al., 2004",pig,Duroc_Landrace ,fat2,transgenesis,aP2,P1,150,blood,DHA,2,0.7,0.1414,3,1.1,0.1
14,"Lai et al., 2006",pig,unknown,fat1,transgenesis,?-actin,P1,2,tail,EPA,8,4.21,0.6,8,0.26,0.07
15,"Lai et al., 2006",pig,unknown,fat1,transgenesis,?-actin,P1,2,tail,DHA,8,1.75,0.23,8,0.95,0.21
19,"Wu et al., 2012",cattle,Holstein,fat1,transgenesis,?-actin,P1,90,ear,EPA,3,4.9,0.4,3,1.1,0.3
20,"Wu et al., 2012",cattle,Holstein,fat1,transgenesis,?-actin,P1,90,ear,DHA,3,0.72,0.08,3,0.38,0.1
24,"Wu et al., 2012",cattle,Holstein,fat1,transgenesis,?-actin,P1,90,ear,EPA,3,4.9,0.4,3,0,0
25,"Wu et al., 2012",cattle,Holstein,fat1,transgenesis,?-actin,P1,90,ear,DHA,3,0.72,0.08,3,0.41,0.04
29,"Wu et al., 2012",cattle,Holstein,fat1,transgenesis,?-actin,P1,281,milk,EPA,3,0.16,0.04,3,0.03,0.4
30,"Wu et al., 2012",cattle,Holstein,fat1,transgenesis,?-actin,P1,281,milk,DHA,3,0.05,0.12,3,0.02,0.06
34,"Zhang et al., 2012",pig,Danish Landrace,fat1,transgenesis,?-actin,P1,281,in vitro,EPA,2,2.8,0.565685425,1,0.03,0
35,"Zhang et al., 2012",pig,Danish Landrace,fat1,transgenesis,?-actin,P1,281,in vitro,DHA,2,1.035,0.318198052,1,0.97,0
59,"Cheng et al., 2014",fish,common carp,D5D,transgenesis,?-actin,P1,270,muscle,EPA,13,3.2,0.565685425,20,3.115,0.360624458
60,"Cheng et al., 2014",fish,common carp,D5D,transgenesis,?-actin,P1,270,muscle,DHA,13,5.17,0.494974747,20,5.15,0
63,"Cheng et al., 2014",fish,common carp,D5D,transgenesis,?-actin,P1,270,muscle,EPA,13,5.155,0.6151829,20,5.14,0.45254834
64,"Cheng et al., 2014",fish,common carp,D5D,transgenesis,?-actin,P1,270,muscle,DHA,13,8.4,0.268700577,20,8.515,0.233345238
67,"Kabeya et al., 2014",fish,nibe croaker,elovl2,transgenesis,Apo-14,P1,180,brain,EPA,3,4.3,0.13,3,4.83,0.45
68,"Kabeya et al., 2014",fish,nibe croaker,elovl2,transgenesis,Apo-14,P1,180,eye,EPA,3,3.62,0.43,3,5.34,0.87
69,"Kabeya et al., 2014",fish,nibe croaker,elovl2,transgenesis,Apo-14,P1,180,heart,EPA,3,7.53,0.49,3,8.09,0.54
70,"Kabeya et al., 2014",fish,nibe croaker,elovl2,transgenesis,Apo-14,P1,180,liver,EPA,3,2.45,0.44,3,6.6,0.61
71,"Kabeya et al., 2014",fish,nibe croaker,elovl2,transgenesis,Apo-14,P1,180,kidney,EPA,3,6.57,0.47,3,6.8,0.76
72,"Kabeya et al., 2014",fish,nibe croaker,elovl2,transgenesis,Apo-14,P1,180,muscle,EPA,3,7.05,0.88,3,5.49,0.57
73,"Kabeya et al., 2014",fish,nibe croaker,elovl2,transgenesis,Apo-14,P1,180,stomach,EPA,3,7.84,0.91,3,6.74,0.89
74,"Kabeya et al., 2014",fish,nibe croaker,elovl2,transgenesis,Apo-14,P1,180,intestine,EPA,3,5.35,0.24,3,4.82,0.84
75,"Kabeya et al., 2014",fish,nibe croaker,elovl2,transgenesis,Apo-14,P1,180,testis,EPA,3,4.66,0.53,3,5.12,0.43
76,"Kabeya et al., 2014",fish,nibe croaker,elovl2,transgenesis,Apo-14,P1,180,brain,DHA,3,22.14,0.37,3,20.88,1.51
77,"Kabeya et al., 2014",fish,nibe croaker,elovl2,transgenesis,Apo-14,P1,180,eye,DHA,3,40.08,2.76,3,30.95,8.58
78,"Kabeya et al., 2014",fish,nibe croaker,elovl2,transgenesis,Apo-14,P1,180,heart,DHA,3,23.67,1.84,3,17.17,2.58
79,"Kabeya et al., 2014",fish,nibe croaker,elovl2,transgenesis,Apo-14,P1,180,liver,DHA,3,16.14,3,3,15.99,4.56
80,"Kabeya et al., 2014",fish,nibe croaker,elovl2,transgenesis,Apo-14,P1,180,kidney,DHA,3,9.76,0.42,3,9.08,0.84
81,"Kabeya et al., 2014",fish,nibe croaker,elovl2,transgenesis,Apo-14,P1,180,muscle,DHA,3,14.4,1.13,3,10.97,1.38
