ID,Author,category,species,gene,method,promoter,generation,age,source,parameter,treat_n,treat_mean,treat_sd,control_n,control_mean,control_sd
1,"Saeki et al., 2004",pig,Duroc_Landrace ,fat2,transgenesis,aP2,P1,150,in vitro,?-6,3,20.3,2.1,3,1.9,0.4
2,"Saeki et al., 2004",pig,Duroc_Landrace ,fat2,transgenesis,aP2,P1,150,in vitro,?-3,3,2.7,1.4,3,1.6,0.6
3,"Saeki et al., 2004",pig,Duroc_Landrace ,fat2,transgenesis,aP2,P1,150,in vitro,?-6/?-3,3,5.6,0.6,3,2.5,1.7
4,"Saeki et al., 2004",pig,Duroc_Landrace ,fat2,transgenesis,aP2,P1,150,white adipose,?-6,3,11.8,0.5,5,9.4,0.5
5,"Saeki et al., 2004",pig,Duroc_Landrace ,fat2,transgenesis,aP2,P1,150,white adipose,?-3,3,0.6,0.2,5,0.8,0.3
6,"Saeki et al., 2004",pig,Duroc_Landrace ,fat2,transgenesis,aP2,P1,150,white adipose,?-6/?-3,3,24.2,9.1,5,10.3,2.3
7,"Saeki et al., 2004",pig,Duroc_Landrace ,fat2,transgenesis,aP2,P1,150,white adipose,?-6,3,11.8,0.4,5,10,0.3
8,"Saeki et al., 2004",pig,Duroc_Landrace ,fat2,transgenesis,aP2,P1,150,white adipose,?-3,3,1.4,0.03,5,1.4,0.1
9,"Saeki et al., 2004",pig,Duroc_Landrace ,fat2,transgenesis,aP2,P1,150,white adipose,?-6/?-3,3,8.3,0.4,5,7.3,0.4
10,"Saeki et al., 2004",pig,Duroc_Landrace ,fat2,transgenesis,aP2,P1,150,blood,?-6,2,45.5,0.2121,3,40.7,1.1
11,"Saeki et al., 2004",pig,Duroc_Landrace ,fat2,transgenesis,aP2,P1,150,blood,?-3,2,2.5,0.2828,3,3.3,0.2
12,"Saeki et al., 2004",pig,Duroc_Landrace ,fat2,transgenesis,aP2,P1,150,blood,EPA,2,0.2,0.1414,3,0.3,0.1
