ID,Author,category,species,gene,method,promoter,generation,age,source,parameter,treat_n,treat_mean,treat_sd,control_n,control_mean,control_sd
2,"Saeki et al., 2004",pig,Duroc_Landrace ,fat2,transgenesis,aP2,P1,150,in vitro,?-3,3,2.7,1.4,3,1.6,0.6
5,"Saeki et al., 2004",pig,Duroc_Landrace ,fat2,transgenesis,aP2,P1,150,white adipose,?-3,3,0.6,0.2,5,0.8,0.3
8,"Saeki et al., 2004",pig,Duroc_Landrace ,fat2,transgenesis,aP2,P1,150,white adipose,?-3,3,1.4,0.03,5,1.4,0.1
11,"Saeki et al., 2004",pig,Duroc_Landrace ,fat2,transgenesis,aP2,P1,150,blood,?-3,2,2.5,0.2828,3,3.3,0.2
17,"Lai et al., 2006",pig,unknown,fat1,transgenesis,?-actin,P1,2,tail,?-3,8,8.59,0.84,8,2.18,0.25
22,"Wu et al., 2012",cattle,Holstein,fat1,transgenesis,?-actin,P1,90,ear,?-3,3,18.02,1.3,3,4.78,0.9
27,"Wu et al., 2012",cattle,Holstein,fat1,transgenesis,?-actin,P1,90,ear,?-3,3,18.02,1.3,3,3.31,0.98
32,"Wu et al., 2012",cattle,Holstein,fat1,transgenesis,?-actin,P1,281,milk,?-3,3,2.03,0.23,3,0.68,0.04
37,"Zhang et al., 2012",pig,Danish Landrace,fat1,transgenesis,?-actin,P1,281,in vitro,?-3,2,8.5,2.305168107,1,2.04,0
62,"Cheng et al., 2014",fish,common carp,D5D,transgenesis,?-actin,P1,270,muscle,?-3,13,11.76,1.258650071,20,11.52,0.395979797
66,"Cheng et al., 2014",fish,common carp,D5D,transgenesis,?-actin,P1,270,muscle,?-3,13,19.07,0.890954544,20,19.03,0.155563492
91,"Kabeya et al., 2016",fish,nibe croaker,elovl2,transgenesis,Apo-14,F1,50,whole body,?-3,4,214.7,3.4,4,218.2,1.9
92,"Kabeya et al., 2016",fish,nibe croaker,elovl2,transgenesis,Apo-14,F1,50,whole body,?-3,4,217.4,10,4,212.5,6.2
93,"Kabeya et al., 2016",fish,nibe croaker,elovl2,transgenesis,Apo-14,F1,50,whole body,?-3,4,245.8,5.6,4,258.7,13.2
99,"Liu et al., 2016",pig,Song-liao black,fat1,transgenesis,?-actin,P1,90,ear,?-3,5,7.34,0.76,3,3.1,0.06
104,"Bugg, 2017",fish,common carp,D5D,transgenesis,?-actin,F1,180,muscle,?-3,5,2.25,0.13,2,2.97,1.24
108,"Bugg, 2017",fish,channel catfish,D5D,transgenesis,?-actin,F1,180,muscle,?-3,3,38.45,3.2,2,34.75,3.32
110,"Liu et al., 2017",cattle,Holstein,fat1,transgenesis,?-actin,P1,90,ear,?-3,6,5.63,0.761,6,3.804,0.761
118,"Zhang et al., 2018",goat,Arbas cashmere,fat2,transgenesis,?-actin,P1,40,in vitro,?-3,3,2.735,0.965,3,2.627,0.751
125,"Huang et al., 2021",fish,channel catfish,D5D,transgenesis,?-actin,F1,360,muscle,?-3,2,29.22,0.45,10,23.39,2.93
129,"Huang et al., 2021",fish,channel catfish,D5D,transgenesis,?-actin,F1,360,muscle,?-3,8,32.02,3.55,17,23.74,2.43
133,"Xing et al., 2022a",fish,channel catfish,elovl2,transgenesis,?-actin,P1,300,muscle,?-3,3,20.23,1.05,3,14.36,1.55
137,"Xing et al., 2022b",fish,channel catfish,elovl2,transgenesis,?-actin,P1,270,muscle,?-3,3,17.82,0.29,3,17.31,0.99
141,"Xing et al., 2023",fish,channel catfish,fat1,transgenesis,?-actin,P1,210,muscle,?-3,5,21.72,1.56,5,18.13,1.2
146,"Xing et al., 2023",fish,channel catfish,fat2,transgenesis,?-actin,P1,210,muscle,?-3,5,19.03,2.12,5,18.13,1.2
151,"Coogan et al., 2023",fish,channel catfish,elovl2,transgenesis,?-actin,P1,180,muscle,?-3,3,2.87,0.38,3,1.82,0.22
